     support         itemsets  count
0   0.571429              (1)    4.0
1   0.571429              (2)    4.0
2   0.714286              (3)    5.0
3   0.714286              (4)    5.0
4   0.428571              (5)    3.0
5   0.285714              (6)    2.0
6   0.285714              (7)    2.0
7   0.428571           (2, 1)    3.0
8   0.428571           (3, 1)    3.0
9   0.428571           (4, 1)    3.0
10  0.285714           (5, 1)    2.0
11  0.142857           (6, 1)    1.0
12  0.428571           (3, 2)    3.0
13  0.428571           (4, 2)    3.0
14  0.285714           (2, 5)    2.0
15  0.142857           (6, 2)    1.0
16  0.142857           (7, 2)    1.0
17  0.428571           (4, 3)    3.0
18  0.285714           (3, 5)    2.0
19  0.285714           (6, 3)    2.0
20  0.142857           (7, 3)    1.0
21  0.285714           (4, 5)    2.0
22  0.285714           (4, 7)    2.0
23  0.142857           (6, 5)    1.0
24  0.285714        (3, 2, 1)    2.0
25  0.285714        (4, 2, 1)    2.0
26  0.285714        (2, 5, 1)    2.0
27  0.142857        (6, 2, 1)    1.0
28  0.285714        (4, 3, 1)    2.0
29  0.142857        (3, 5, 1)    1.0
30  0.142857        (6, 3, 1)    1.0
31  0.285714        (4, 5, 1)    2.0
32  0.285714        (3, 4, 2)    2.0
33  0.142857        (3, 2, 5)    1.0
34  0.142857        (3, 6, 2)    1.0
35  0.142857        (3, 7, 2)    1.0
36  0.285714        (4, 2, 5)    2.0
37  0.142857        (4, 7, 2)    1.0
38  0.142857        (4, 3, 5)    1.0
39  0.142857        (4, 7, 3)    1.0
40  0.142857        (6, 3, 5)    1.0
41  0.142857     (3, 4, 2, 1)    1.0
42  0.142857     (3, 2, 5, 1)    1.0
43  0.142857     (3, 6, 2, 1)    1.0
44  0.285714     (4, 2, 5, 1)    2.0
45  0.142857     (4, 3, 5, 1)    1.0
46  0.142857     (3, 4, 2, 5)    1.0
47  0.142857     (3, 4, 7, 2)    1.0
48  0.142857  (4, 5, 1, 3, 2)    1.0
