     support  count         itemsets
0   0.428571      3              (5)
1   0.285714      2              (6)
2   0.571429      4              (1)
3   0.285714      2              (7)
4   0.714286      5              (3)
5   0.571429      4              (2)
6   0.714286      5              (4)
7   0.285714      2           (4, 7)
8   0.428571      3           (4, 1)
9   0.285714      2           (2, 5)
10  0.285714      2           (6, 3)
11  0.428571      3           (3, 1)
12  0.142857      1           (7, 2)
13  0.285714      2           (4, 5)
14  0.142857      1           (7, 3)
15  0.428571      3           (4, 2)
16  0.142857      1           (6, 2)
17  0.428571      3           (4, 3)
18  0.142857      1           (6, 5)
19  0.285714      2           (5, 1)
20  0.428571      3           (2, 3)
21  0.428571      3           (2, 1)
22  0.142857      1           (6, 1)
23  0.285714      2           (3, 5)
24  0.142857      1        (6, 3, 5)
25  0.285714      2        (4, 5, 1)
26  0.285714      2        (2, 5, 1)
27  0.285714      2        (3, 4, 2)
28  0.142857      1        (3, 5, 1)
29  0.142857      1        (6, 3, 1)
30  0.142857      1        (4, 7, 3)
31  0.142857      1        (3, 7, 2)
32  0.285714      2        (4, 2, 5)
33  0.285714      2        (2, 3, 1)
34  0.285714      2        (4, 3, 1)
35  0.142857      1        (2, 6, 3)
36  0.285714      2        (4, 2, 1)
37  0.142857      1        (4, 7, 2)
38  0.142857      1        (3, 2, 5)
39  0.142857      1        (4, 3, 5)
40  0.142857      1        (6, 2, 1)
41  0.142857      1     (4, 3, 2, 5)
42  0.142857      1     (4, 7, 3, 2)
43  0.285714      2     (4, 2, 5, 1)
44  0.142857      1     (4, 3, 5, 1)
45  0.142857      1     (2, 5, 3, 1)
46  0.142857      1     (4, 3, 2, 1)
47  0.142857      1     (3, 2, 6, 1)
48  0.142857      1  (4, 5, 1, 2, 3)
